広告管理 ＞ キャンペーン ＞ 広告主

"ID","広告主名","表示率","Imp","Click","CTR","CV","CVR","グロス","ネット","利益","CPC(グロス)","eCPM(グロス)"
"406","株式会社BIZENTO","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"412","運営","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"414","競馬メディア","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"415","STARTDASH株式会社","115%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"417","リアズ株式会社","115%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"420","アプリ運営","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"423","ワクワク","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"430","株式会社SMG","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"434","株式会社LeoClie","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"441","株式会社Nexiv","115%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"442","楽天TV","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"447","コミュニティ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"449","株式会社エクラ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"454","株式会社グリスタ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"458","自社運用_高CTR","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"459","株式会社グリスタ_TriggerEdge","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"467","BBコミュニケーションズ株式会社","115%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"469","自社運用_パパ活","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"475","準一般","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"476","株式会社ヘルスアップ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"478","goodbody株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"479","株式会社GRACE","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"485","合同会社EHB","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"488","ラグナロクオンライン","115%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"506","株式会社DK","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"513","DLsite","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"519","ステラ漢方株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"520","日本ITビジネス研究所株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"522","株式会社tattva","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"526","株式会社nexus","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"531","ハッピーメール","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"535","株式会社メリーウェザー","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"545","MEGALOPOLIS株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"551","株式会社オプティマエージェンシー","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"553","株式会社grateful","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"554","株式会社mint","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"559","株式会社SVC","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"593","株式会社SMG","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"618","FANZAコミック","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"622","株式会社Libeiro","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"624","ワクワク　運営者様","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"626","ヘルスアップ_ビセラ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"627","ファンファレ_トトノウミスト","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"630","株式会社ヘルスアップ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"648","コミックシーモア_アダルト","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"665","ブックライブ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"672","Libeiro_デルスカット","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"678","わたしの若サマ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"682","株式会社Breathco","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"690","FANZA電子書籍","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"691","FANZAコミック_リテンション","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"694","FANZA同人","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"696","DMM電子書籍","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"705","FANZAコミック_fb","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"711","ステラ_占い","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"725","株式会社Kanael","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"727","広告主_サンプル","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"731","DMM電子書籍","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"739","株式会社リアズ（ハイスペック） ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"746","株式会社Libeiro_ネーヴェクレマ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
