広告管理 ＞ アフィリエイト ＞ キャンペーン

"キャンペーングループ","ID","キャンペーン名","サイズ","設定","原稿数","マージン","ステータス","Imp","Click","CTR","CV","CVR","グロス","ネット","利益","price","CPC(グロス)","eCPM(グロス)"
"97 ドリーミンアイリッチ_シームレス_f","352","ドリーミンアイリッチ_1200*628_f","ｲﾝﾌｨｰﾄﾞ_大","カテ",0,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"99 イキレイ_f","369","イキレイ_300*250_f","ﾚｸﾀﾝｸﾞﾙ","カテ",19,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"99 イキレイ_f","370","イキレイ_1200*628_f","ｲﾝﾌｨｰﾄﾞ_大","カテ",249,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"99 イキレイ_f","371","イキレイ_300*300_f","ｲﾝﾌｨｰﾄﾞ_小","カテ",317,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"106 FREPURE_ｆ","426","FREPURE_300*250_f","ﾚｸﾀﾝｸﾞﾙ","カテ",7,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"106 FREPURE_ｆ","427","FREPURE_1200*628_f","ｲﾝﾌｨｰﾄﾞ_大","カテ",196,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"106 FREPURE_ｆ","428","FREPURE_300*300_f","ｲﾝﾌｨｰﾄﾞ_小","カテ",196,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"111 テスト","468","テスト","ﾚｸﾀﾝｸﾞﾙ","リカテ",0,20,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"120 トトノウミスト_ｆ","483","トトノウミスト_1200*628_f","ｲﾝﾌｨｰﾄﾞ_大","カテ",10,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"120 トトノウミスト_ｆ","484","トトノウミスト_300*300_f","ｲﾝﾌｨｰﾄﾞ_小","カテ",20,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"44 サジージュース_f","682","サジージュース_300*250_f","ﾚｸﾀﾝｸﾞﾙ","カテ",1,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"233 ブレッシュ_Historia_f","1042","ブレッシュ_300*300_f","ｲﾝﾌｨｰﾄﾞ_小","カテ",12,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"311 黒椿_f","1362","黒椿_300*300_ｆ","ｲﾝﾌｨｰﾄﾞ_小","カテ",1,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"311 黒椿_f","1549","黒椿_1200*628_ｆ","ｲﾝﾌｨｰﾄﾞ_大","カテ",4,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"362 デイリーワン_f","1550","デイリーワン_300*300_ｆ","ｲﾝﾌｨｰﾄﾞ_小","カテ",2,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"362 デイリーワン_f","1551","デイリーワン_1200*628_ｆ","ｲﾝﾌｨｰﾄﾞ_大","カテ",3,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"311 黒椿_f","1681","黒椿_300*250_ｆ","ﾚｸﾀﾝｸﾞﾙ","カテ",2,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"362 デイリーワン_f","1682","デイリーワン_300*250_f","ﾚｸﾀﾝｸﾞﾙ","カテ",1,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"584 マンガebookjapan","2516","マンガebookjapan_IOS_ﾚｸﾀﾝｸﾞﾙ_鬼滅の刃","ﾚｸﾀﾝｸﾞﾙ","",3,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"589 ゲオスグ","2525","ゲオスグ_レクタングル","ﾚｸﾀﾝｸﾞﾙ","",2,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
