広告管理 ＞ アフィリエイト ＞ キャンペーン

"キャンペーングループ","ID","キャンペーン名","サイズ","設定","原稿数","マージン","ステータス","Imp","Click","CTR","CV","CVR","グロス","ネット","利益","price","CPC(グロス)","eCPM(グロス)"
"1280 RT_同人top_30day ","4823","RT_同人to_30day冬虫夏草6～親友の姉妹を貪る夏～_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4824","RT_同人to_30day冬虫夏草6～親友の姉妹を貪る夏～_And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4825","RT_同人top_30dayマグロメイドとめち_SZAZ_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4826","RT_同人top_30dayヌルネバ☆スイマ～！！_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4827","RT_同人top_30day教会と異端者一家_SZAZ_And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4830","RT_同人top_30day『500円で10分パンツ。_And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4833","RT_同人top_同人t30dayワイルド式日本人 其ノ一_And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4841","RT_電子書籍TOP_30day_冬虫夏草6_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4842","RT_電子書籍TOP_30day_催●性指導 総集_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4843","RT_電子書籍TOP_30day_催●性指導 総集_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4844","RT_電子書籍TOP_30day_鬼ヶ島VS種付け_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4845","RT_電子書籍TOP_30day_俺をイジメてた元ヤン美_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4846","RT_電子書籍TOP_30day_ワイルド式日本人妻の寝_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4847","RT_電子書籍TOP_30day_マグロメイドと_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",0,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4848","RT_電子書籍TOP_30day_ヌルネバ☆スイマ_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",0,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4849","RT_同人top__30day催●性指導 総集編_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4850","RT_電子書籍TOP_30day_教会と異端者一家_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4851","RT_同人top_30day俺をイジメてた元ヤン美人！_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4852","RT_電子書籍TOP_30day_『500円で10分パンツ_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",0,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4853","RT_同人top_30day催●性指導 総集編_SZAZ_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4854","RT_電子書籍TOP_30day_冬虫夏草6_And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4855","RT_電子書籍TOP_30day_催●性指導 総集編_And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4856","RT_同人top_30dayワイルド式日本人妻の 其ノ一_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4857","RT_同人TOP_30day『500円で10分パンツ_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4858","RT_電子書籍TOP_30day_催●性指導 総集編_And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4859","RT_同人top__30day教会と異端者一家_SZAZ_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4860","RT_電子書籍TOP_30day_鬼ヶ島VS種付け_And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
